id,nombre,apellido,email,pais,provincia,matematica,fisica,literatura,programacion,telefono
203,Agustina,Quevedo,agustina.quevedo@universidadvirtual.edu.ar,Argentina,Buenos Aires,3.34,8.63,3.0,6.46,524-869-7596
204,Sabrina,Solís,sabrina.solís@universidadvirtual.edu.ar,Argentina,Córdoba,9.2,4.5,6.88,9.44,288-455-8939
205,Franco,Ramírez,franco.ramírez@universidadvirtual.edu.ar,Argentina,Corrientes,9.62,4.35,8.58,8.25,259-281-1445
206,Miguel,Quezada,miguel.quezada@universidadvirtual.edu.ar,Argentina,Entre Ríos,5.39,7.83,3.18,9.23,380-148-0107
207,Agustín,Valladares,agustín.valladares@universidadvirtual.edu.ar,Argentina,Salta,4.21,6.45,5.92,4.83,247-743-8022
208,Rodrigo,Peralta,rodrigo.peralta@universidadvirtual.edu.ar,Argentina,San Juan,9.76,4.71,4.33,6.01,403-440-3928
209,Delfina,Torres,delfina.torres@universidadvirtual.edu.ar,Argentina,Misiones,3.15,7.63,9.25,4.51,101-864-1135
210,Melina,Téllez,melina.téllez@universidadvirtual.edu.ar,Argentina,Jujuy,9.68,7.57,6.3,4.14,122-107-1079
211,Micaela,Tello,micaela.tello@universidadvirtual.edu.ar,Argentina,Chaco,6.36,4.06,6.53,8.14,842-705-1359
212,Ramiro,Colón,ramiro.colón@universidadvirtual.edu.ar,Argentina,Río Negro,5.68,8.45,6.44,8.61,107-677-3359
213,Emilia,Morales,emilia.morales@universidadvirtual.edu.ar,Argentina,Mendoza,6.1,5.22,9.83,7.52,392-535-4099
214,Abril,Castro,abril.castro@universidadvirtual.edu.ar,Argentina,Jujuy,9.28,9.59,7.89,5.36,119-632-8883
215,Catalina,Castro,catalina.castro@universidadvirtual.edu.ar,Argentina,La Pampa,5.59,4.17,3.87,9.16,429-249-5159
216,Yamila,Correa,yamila.correa@universidadvirtual.edu.ar,Argentina,San Juan,2.45,4.21,9.78,4.54,477-197-9021
217,Raúl,Guerrero,raúl.guerrero@universidadvirtual.edu.ar,Argentina,La Rioja,2.19,4.19,7.47,7.6,201-851-7354
218,Silvia,Luján,silvia.luján@universidadvirtual.edu.ar,Argentina,Santiago del Estero,9.09,4.5,8.91,4.18,174-532-7325
219,Carla,Méndez,carla.méndez@universidadvirtual.edu.ar,Argentina,Córdoba,2.83,6.19,6.44,8.99,273-831-5178
220,Abril,Lozada,abril.lozada@universidadvirtual.edu.ar,Argentina,Córdoba,3.09,6.73,9.76,4.06,233-949-7824
221,Iván,Almada,iván.almada@universidadvirtual.edu.ar,Argentina,Río Negro,2.99,7.61,7.13,8.62,828-984-6628
222,Omar,Lepe,omar.lepe@universidadvirtual.edu.ar,Argentina,Córdoba,7.75,5.78,3.16,8.6,868-563-3989
223,Celeste,Vargas,celeste.vargas@universidadvirtual.edu.ar,Argentina,Río Negro,2.13,9.89,9.1,7.15,306-843-1088
224,Yamila,Cardona,yamila.cardona@universidadvirtual.edu.ar,Argentina,Entre Ríos,6.42,9.5,3.96,4.8,337-662-3293
225,Ariel,Santillán,ariel.santillán@universidadvirtual.edu.ar,Argentina,San Juan,4.4,9.85,6.99,9.47,360-933-1050
226,Sheila,Rojas,sheila.rojas@universidadvirtual.edu.ar,Argentina,Jujuy,5.64,5.26,9.53,6.73,534-917-7737
227,Estefanía,Gómez,estefanía.gómez@universidadvirtual.edu.ar,Argentina,Tierra del Fuego,5.37,6.05,3.92,7.45,919-545-3493
228,Nazarena,Roque,nazarena.roque@universidadvirtual.edu.ar,Argentina,Ciudad Autónoma de Buenos Aires,5.12,5.06,6.91,6.25,242-982-9980
229,Brenda,Salazar,brenda.salazar@universidadvirtual.edu.ar,Argentina,Corrientes,5.88,5.36,5.11,5.93,450-428-3218
230,Nazarena,Zúñiga,nazarena.zúñiga@universidadvirtual.edu.ar,Argentina,San Luis,5.51,4.63,6.37,4.11,368-427-1551
231,Nazarena,Duarte,nazarena.duarte@universidadvirtual.edu.ar,Argentina,Córdoba,8.54,6.9,3.23,7.48,332-322-5393
232,Elías,Valderrama,elías.valderrama@universidadvirtual.edu.ar,Argentina,Neuquén,9.11,6.12,7.83,6.26,588-149-5520
233,Nayla,Godínez,nayla.godínez@universidadvirtual.edu.ar,Argentina,Buenos Aires,6.18,9.08,7.38,6.63,320-507-1638
234,Bruno,Trejo,bruno.trejo@universidadvirtual.edu.ar,Argentina,Salta,2.18,9.0,3.13,9.22,835-225-2779
235,Lucas,Colón,lucas.colón@universidadvirtual.edu.ar,Argentina,Jujuy,4.27,9.48,6.93,6.78,944-887-8617
236,Carla,Solís,carla.solís@universidadvirtual.edu.ar,Argentina,Río Negro,2.39,5.04,3.19,6.67,930-674-9512
237,Sergio,Macías,sergio.macías@universidadvirtual.edu.ar,Argentina,Corrientes,8.27,6.22,6.61,8.21,684-935-3186
238,León,Cedano,león.cedano@universidadvirtual.edu.ar,Argentina,Chubut,8.23,4.75,6.11,6.77,528-375-6960
239,Cristian,Juárez,cristian.juárez@universidadvirtual.edu.ar,Argentina,Santa Fe,5.07,4.45,7.31,7.11,602-641-3260
240,José,Oyola,josé.oyola@universidadvirtual.edu.ar,Argentina,Tierra del Fuego,5.43,7.06,3.38,5.0,626-725-0672
241,Ariel,Sepúlveda,ariel.sepúlveda@universidadvirtual.edu.ar,Argentina,Chubut,8.78,6.14,3.66,9.25,208-630-0770
242,Malena,Serrano,malena.serrano@universidadvirtual.edu.ar,Argentina,Neuquén,2.93,5.25,3.32,9.33,125-879-8347
243,Lourdes,Cardona,lourdes.cardona@universidadvirtual.edu.ar,Argentina,Formosa,4.57,6.65,3.23,9.06,921-370-8766
244,Adrián,Palma,adrián.palma@universidadvirtual.edu.ar,Argentina,Neuquén,5.39,4.28,3.03,4.65,894-675-9267
245,Sabrina,Jáuregui,sabrina.jáuregui@universidadvirtual.edu.ar,Argentina,Tierra del Fuego,2.24,9.81,6.36,4.72,884-127-8818
246,Milagros,Quiñones,milagros.quiñones@universidadvirtual.edu.ar,Argentina,Jujuy,9.07,6.47,4.9,4.81,500-356-3166
247,Abril,Cordero,abril.cordero@universidadvirtual.edu.ar,Argentina,Chaco,9.04,4.2,6.96,6.66,273-448-1645
248,Gonzalo,Valencia,gonzalo.valencia@universidadvirtual.edu.ar,Argentina,La Rioja,3.82,5.67,4.82,6.54,958-132-3940
249,Milagros,Cañizares,milagros.cañizares@universidadvirtual.edu.ar,Argentina,Río Negro,5.99,8.35,7.89,9.86,947-718-3340
250,Kevin,Marroquín,kevin.marroquín@universidadvirtual.edu.ar,Argentina,Ciudad Autónoma de Buenos Aires,4.26,7.97,6.6,5.37,667-106-5822
251,Claudia,Céspedes,claudia.céspedes@universidadvirtual.edu.ar,Argentina,Santa Cruz,7.32,5.77,5.54,4.77,831-264-0041
252,Celeste,Quiroz,celeste.quiroz@universidadvirtual.edu.ar,Argentina,Catamarca,2.01,6.44,3.23,7.84,886-764-5256
253,Nayla,Téllez,nayla.téllez@universidadvirtual.edu.ar,Argentina,Río Negro,3.63,9.33,5.09,4.5,689-906-8854
254,Javier,Urrutia,javier.urrutia@universidadvirtual.edu.ar,Argentina,Córdoba,9.11,5.76,8.44,6.38,896-697-2155
255,Bianca,Lazo,bianca.lazo@universidadvirtual.edu.ar,Argentina,San Luis,3.01,4.91,4.07,4.14,861-761-8104
256,Martina,Urbina,martina.urbina@universidadvirtual.edu.ar,Argentina,Jujuy,8.21,5.15,7.47,9.0,536-168-4698
257,Federico,Ureña,federico.ureña@universidadvirtual.edu.ar,Argentina,Santiago del Estero,4.72,8.91,8.49,5.78,561-506-4337
258,Brenda,Alfaro,brenda.alfaro@universidadvirtual.edu.ar,Argentina,Catamarca,4.33,6.08,8.2,5.64,994-665-8507
259,Estefanía,Urrutia,estefanía.urrutia@universidadvirtual.edu.ar,Argentina,Catamarca,3.29,9.38,7.55,5.22,870-716-4540
260,Florencia,Rivas,florencia.rivas@universidadvirtual.edu.ar,Argentina,Neuquén,8.79,6.43,3.93,5.44,987-661-8781
261,Brenda,Negrón,brenda.negrón@universidadvirtual.edu.ar,Argentina,La Pampa,9.27,6.01,4.39,6.4,724-439-7822
262,Federico,Huerta,federico.huerta@universidadvirtual.edu.ar,Argentina,San Juan,5.53,4.03,3.31,9.84,628-420-9380
263,Bianca,Soto,bianca.soto@universidadvirtual.edu.ar,Argentina,San Juan,2.59,9.27,8.13,5.2,235-582-5675
264,Néstor,Olmedo,néstor.olmedo@universidadvirtual.edu.ar,Argentina,Jujuy,5.2,4.4,5.04,9.89,746-112-5769
265,Enzo,Portillo,enzo.portillo@universidadvirtual.edu.ar,Argentina,Chubut,6.85,7.94,9.89,7.87,339-921-4334
266,Walter,De la Cruz,walter.de la cruz@universidadvirtual.edu.ar,Argentina,San Luis,5.01,7.49,5.94,4.46,783-811-7787
267,León,Lucero,león.lucero@universidadvirtual.edu.ar,Argentina,La Pampa,7.76,9.53,6.1,6.08,911-728-3928
268,Leandro,Chaves,leandro.chaves@universidadvirtual.edu.ar,Argentina,Chubut,5.4,9.24,9.09,5.27,857-191-2207
269,Valentina,Fernández,valentina.fernández@universidadvirtual.edu.ar,Argentina,Entre Ríos,5.46,5.17,7.43,6.85,117-260-7391
270,Daniela,Montoya,daniela.montoya@universidadvirtual.edu.ar,Argentina,Córdoba,4.39,9.36,6.13,5.37,823-614-2216
271,Patricia,Salcedo,patricia.salcedo@universidadvirtual.edu.ar,Argentina,Salta,6.46,8.62,7.9,6.52,852-913-0036
272,Graciela,Godínez,graciela.godínez@universidadvirtual.edu.ar,Argentina,Entre Ríos,7.57,5.98,5.49,4.61,121-258-9332
273,Pedro,Cárdenas,pedro.cárdenas@universidadvirtual.edu.ar,Argentina,Santa Cruz,5.93,5.03,8.85,5.83,905-251-1321
274,Luciano,Quiroz,luciano.quiroz@universidadvirtual.edu.ar,Argentina,Buenos Aires,7.88,5.84,8.09,8.87,103-641-4575
275,Delfina,Saavedra,delfina.saavedra@universidadvirtual.edu.ar,Argentina,Chaco,2.79,5.48,9.19,4.31,270-850-9905
276,Luz,Ceballos,luz.ceballos@universidadvirtual.edu.ar,Argentina,La Rioja,8.32,4.24,8.89,9.24,954-524-1984
277,Milagros,Paredes,milagros.paredes@universidadvirtual.edu.ar,Argentina,La Rioja,2.17,5.2,3.17,7.15,996-808-8236
278,Thiago,Negrón,thiago.negrón@universidadvirtual.edu.ar,Argentina,Tucumán,3.01,4.34,4.88,4.46,488-537-8208
279,Guillermina,Alvarado,guillermina.alvarado@universidadvirtual.edu.ar,Argentina,Santa Fe,5.6,8.48,7.43,4.17,267-922-3248
280,Marcos,Castellanos,marcos.castellanos@universidadvirtual.edu.ar,Argentina,Misiones,8.22,7.46,9.87,8.91,308-518-5775
281,Nayla,Sosa,nayla.sosa@universidadvirtual.edu.ar,Argentina,Chubut,3.65,7.91,7.74,9.62,225-916-5199
282,Valentín,Varela,valentín.varela@universidadvirtual.edu.ar,Argentina,Entre Ríos,6.3,5.53,5.97,9.97,764-870-1713
283,Thiago,Avila,thiago.avila@universidadvirtual.edu.ar,Argentina,Río Negro,6.85,6.28,8.32,7.21,484-692-4755
284,Belén,Rodríguez,belén.rodríguez@universidadvirtual.edu.ar,Argentina,Corrientes,8.63,7.37,8.41,7.81,180-281-7887
285,Néstor,Lemus,néstor.lemus@universidadvirtual.edu.ar,Argentina,Neuquén,7.66,4.03,3.24,7.91,202-138-3036
286,Bruno,Sepúlveda,bruno.sepúlveda@universidadvirtual.edu.ar,Argentina,Córdoba,3.6,7.48,7.26,4.49,952-986-7450
287,Dante,Espinoza,dante.espinoza@universidadvirtual.edu.ar,Argentina,Jujuy,3.38,9.63,4.15,6.98,660-192-0768
288,Bruno,Lemus,bruno.lemus@universidadvirtual.edu.ar,Argentina,Misiones,3.27,8.23,9.64,9.11,326-232-7646
289,Ian,Carrillo,ian.carrillo@universidadvirtual.edu.ar,Argentina,Buenos Aires,3.85,4.42,5.24,7.37,248-820-0724
290,Mónica,Delgado,mónica.delgado@universidadvirtual.edu.ar,Argentina,Mendoza,2.11,6.71,9.03,9.89,222-639-3067
291,Rocío,Medina,rocío.medina@universidadvirtual.edu.ar,Argentina,Mendoza,3.57,8.65,6.14,4.15,605-576-2266
292,Iván,Palacios,iván.palacios@universidadvirtual.edu.ar,Argentina,Corrientes,8.24,4.51,5.37,8.42,538-661-8434
293,Lautaro,Lerma,lautaro.lerma@universidadvirtual.edu.ar,Argentina,Jujuy,3.3,4.33,8.55,4.64,222-343-5431
294,Mauricio,Quintero,mauricio.quintero@universidadvirtual.edu.ar,Argentina,Chaco,7.51,6.85,4.84,7.25,303-851-1161
295,Ángeles,Arce,ángeles.arce@universidadvirtual.edu.ar,Argentina,Tierra del Fuego,4.16,4.71,5.82,9.5,813-707-5102
296,Catalina,Aragón,catalina.aragón@universidadvirtual.edu.ar,Argentina,Jujuy,9.57,8.87,6.44,4.36,800-366-8373
297,Elías,Llamas,elías.llamas@universidadvirtual.edu.ar,Argentina,Tucumán,3.27,6.47,6.11,9.0,433-664-5011
298,Kevin,Ceballos,kevin.ceballos@universidadvirtual.edu.ar,Argentina,Tucumán,7.09,8.79,5.87,7.22,311-793-5652
299,Lucas,Vega,lucas.vega@universidadvirtual.edu.ar,Argentina,Formosa,5.51,6.93,6.9,5.18,647-535-4619
300,Leandro,Erazo,leandro.erazo@universidadvirtual.edu.ar,Argentina,Chubut,3.33,8.3,8.6,5.98,104-941-5846
301,Diego,Gaytán,diego.gaytán@universidadvirtual.edu.ar,Argentina,Tucumán,4.21,6.31,7.65,5.82,565-266-4595
302,Patricia,Luna,patricia.luna@universidadvirtual.edu.ar,Argentina,Jujuy,8.05,4.61,8.85,5.61,406-307-3482
303,Sergio,Lucero,sergio.lucero@universidadvirtual.edu.ar,Argentina,Catamarca,2.82,4.58,9.31,8.64,915-857-2385
304,Máximo,Del Toro,máximo.del toro@universidadvirtual.edu.ar,Argentina,Chubut,8.35,8.95,6.62,6.08,670-610-1927
305,Jazmín,López,jazmín.lópez@universidadvirtual.edu.ar,Argentina,Jujuy,8.42,7.23,3.99,7.53,300-804-1153
306,Eugenia,Castañón,eugenia.castañón@universidadvirtual.edu.ar,Argentina,Santiago del Estero,4.04,9.33,4.35,9.41,479-670-3916
307,Olivia,Farias,olivia.farias@universidadvirtual.edu.ar,Argentina,Mendoza,8.42,6.49,9.34,5.48,828-861-2072
308,Julián,Muñiz,julián.muñiz@universidadvirtual.edu.ar,Argentina,Corrientes,5.64,6.92,7.26,6.68,802-517-9094
309,Marcelo,Urbina,marcelo.urbina@universidadvirtual.edu.ar,Argentina,Mendoza,3.52,7.4,8.34,9.55,944-794-8357
310,Valentín,Muñiz,valentín.muñiz@universidadvirtual.edu.ar,Argentina,Ciudad Autónoma de Buenos Aires,6.24,6.99,6.46,8.76,459-673-1386
311,Luz,Velasco,luz.velasco@universidadvirtual.edu.ar,Argentina,Tierra del Fuego,2.37,5.76,6.36,7.9,442-910-5182
312,Jorge,Montiel,jorge.montiel@universidadvirtual.edu.ar,Argentina,Córdoba,5.78,6.82,5.5,5.03,801-870-7857
313,Daniela,Montiel,daniela.montiel@universidadvirtual.edu.ar,Argentina,Mendoza,5.61,4.18,6.49,7.42,747-478-2746
314,León,Pascual,león.pascual@universidadvirtual.edu.ar,Argentina,Formosa,8.56,9.7,8.25,9.31,910-134-0346
315,Leandro,Ponce,leandro.ponce@universidadvirtual.edu.ar,Argentina,Neuquén,6.96,8.67,5.32,5.04,158-238-1534
316,Nayla,Téllez,nayla.téllez@universidadvirtual.edu.ar,Argentina,Santa Fe,2.24,5.43,6.41,9.66,759-492-0643
317,Nayla,Casanova,nayla.casanova@universidadvirtual.edu.ar,Argentina,Tierra del Fuego,5.98,4.22,8.44,8.79,205-431-3178
318,Luz,Lucero,luz.lucero@universidadvirtual.edu.ar,Argentina,Santa Fe,2.09,4.42,5.09,4.91,934-336-7087
319,Ricardo,Guevara,ricardo.guevara@universidadvirtual.edu.ar,Argentina,Santa Cruz,9.48,8.31,3.55,6.77,304-785-7156
320,Ian,Alfaro,ian.alfaro@universidadvirtual.edu.ar,Argentina,Entre Ríos,6.19,9.31,7.57,8.54,252-264-2375
321,Lourdes,Quiñones,lourdes.quiñones@universidadvirtual.edu.ar,Argentina,Neuquén,6.23,7.08,4.76,4.03,191-837-6881
322,Thiago,Ocampo,thiago.ocampo@universidadvirtual.edu.ar,Argentina,Formosa,2.12,9.45,8.14,7.69,824-412-1179
323,Ariel,Quintero,ariel.quintero@universidadvirtual.edu.ar,Argentina,Mendoza,3.61,4.68,7.55,5.33,691-492-8276
324,Ana,Alfaro,ana.alfaro@universidadvirtual.edu.ar,Argentina,Neuquén,8.87,4.13,4.04,8.64,323-976-8312
325,Facundo,Payán,facundo.payán@universidadvirtual.edu.ar,Argentina,Chaco,7.82,7.52,9.02,9.87,205-556-6225
326,Rosa,Orozco,rosa.orozco@universidadvirtual.edu.ar,Argentina,Catamarca,3.38,7.64,6.9,5.49,855-905-0305
327,Eugenia,Castaño,eugenia.castaño@universidadvirtual.edu.ar,Argentina,Salta,7.57,9.85,3.82,4.24,875-472-6419
328,Santiago,Saucedo,santiago.saucedo@universidadvirtual.edu.ar,Argentina,Santiago del Estero,7.23,4.1,6.09,7.89,163-508-5960
329,Lara,Lazo,lara.lazo@universidadvirtual.edu.ar,Argentina,Santa Cruz,5.16,4.64,4.62,7.28,542-522-1407
330,Marcos,Almada,marcos.almada@universidadvirtual.edu.ar,Argentina,Misiones,7.64,4.7,5.11,9.88,930-132-1949
331,Nerea,Godoy,nerea.godoy@universidadvirtual.edu.ar,Argentina,Formosa,4.39,5.8,7.45,6.71,981-376-2801
332,Luciano,Palma,luciano.palma@universidadvirtual.edu.ar,Argentina,Chubut,5.06,9.19,6.99,4.93,989-826-5640
333,Valentín,Duarte,valentín.duarte@universidadvirtual.edu.ar,Argentina,Neuquén,8.86,4.67,4.54,8.01,527-442-1643
334,Abril,Quintero,abril.quintero@universidadvirtual.edu.ar,Argentina,Tucumán,4.64,8.78,8.59,4.31,630-798-5838
335,Iván,Cordero,iván.cordero@universidadvirtual.edu.ar,Argentina,Tucumán,7.76,8.92,6.11,8.08,284-357-2090
336,Ricardo,Sandoval,ricardo.sandoval@universidadvirtual.edu.ar,Argentina,San Luis,7.2,4.76,9.55,5.32,857-993-7333
337,Federico,Sandoval,federico.sandoval@universidadvirtual.edu.ar,Argentina,Corrientes,9.98,9.26,3.04,7.99,372-501-6735
338,Emilia,Valladares,emilia.valladares@universidadvirtual.edu.ar,Argentina,Entre Ríos,6.27,6.78,4.41,9.78,958-888-8356
339,Máximo,Escamilla,máximo.escamilla@universidadvirtual.edu.ar,Argentina,Tierra del Fuego,9.85,8.89,9.05,7.2,629-821-7642
340,Yamila,Vázquez,yamila.vázquez@universidadvirtual.edu.ar,Argentina,San Luis,3.75,6.68,5.05,5.19,740-583-2374
341,Sergio,Sanabria,sergio.sanabria@universidadvirtual.edu.ar,Argentina,San Luis,6.45,8.6,5.8,7.49,907-402-0752
342,Luciano,Escudero,luciano.escudero@universidadvirtual.edu.ar,Argentina,San Juan,2.12,6.44,9.19,5.04,485-558-6558
343,Teresa,Paredes,teresa.paredes@universidadvirtual.edu.ar,Argentina,Jujuy,5.38,7.58,6.61,6.63,161-936-1371
344,Patricia,Velasco,patricia.velasco@universidadvirtual.edu.ar,Argentina,Ciudad Autónoma de Buenos Aires,8.83,8.84,5.97,6.45,348-381-1157
345,Nazarena,Becerra,nazarena.becerra@universidadvirtual.edu.ar,Argentina,Río Negro,4.77,6.51,3.26,6.51,711-460-9208
346,Víctor,Pedraza,víctor.pedraza@universidadvirtual.edu.ar,Argentina,Catamarca,2.32,8.57,3.38,9.39,927-218-9133
347,Valentín,Solís,valentín.solís@universidadvirtual.edu.ar,Argentina,Chubut,7.21,6.35,6.23,5.98,610-706-1959
348,Raúl,Castellanos,raúl.castellanos@universidadvirtual.edu.ar,Argentina,Santiago del Estero,2.6,7.91,7.88,6.05,658-431-3794
349,Eugenia,Girón,eugenia.girón@universidadvirtual.edu.ar,Argentina,Chubut,3.02,7.51,8.85,9.02,125-848-5927
350,Lucas,Nava,lucas.nava@universidadvirtual.edu.ar,Argentina,Corrientes,7.59,6.44,7.81,6.49,774-347-1794
351,Melina,Sandoval,melina.sandoval@universidadvirtual.edu.ar,Argentina,Chubut,8.44,9.82,9.0,4.73,948-986-5848
352,Luis,Quiñones,luis.quiñones@universidadvirtual.edu.ar,Argentina,San Luis,5.51,9.97,4.76,4.0,626-952-0926
353,Fabián,Méndez,fabián.méndez@universidadvirtual.edu.ar,Argentina,Ciudad Autónoma de Buenos Aires,5.28,6.24,3.03,5.27,797-677-5953
354,Celeste,Salinas,celeste.salinas@universidadvirtual.edu.ar,Argentina,Chaco,7.04,5.63,5.5,9.62,683-183-8216
355,Estefanía,Almada,estefanía.almada@universidadvirtual.edu.ar,Argentina,Misiones,9.17,5.91,3.24,5.79,718-804-5957
356,Ailén,López,ailén.lópez@universidadvirtual.edu.ar,Argentina,Jujuy,8.83,8.51,8.2,5.94,985-250-8775
357,Enzo,Almonte,enzo.almonte@universidadvirtual.edu.ar,Argentina,Santa Cruz,6.94,7.7,5.46,5.68,614-441-7441
358,Gael,Esparza,gael.esparza@universidadvirtual.edu.ar,Argentina,Córdoba,4.39,9.02,7.08,8.36,788-594-2458
359,Ángeles,Quijano,ángeles.quijano@universidadvirtual.edu.ar,Argentina,Neuquén,3.58,5.19,5.83,9.64,458-538-9391
360,Martina,Saucedo,martina.saucedo@universidadvirtual.edu.ar,Argentina,Jujuy,6.42,7.9,9.75,9.14,865-985-7222
361,Agustina,Escalante,agustina.escalante@universidadvirtual.edu.ar,Argentina,San Juan,6.81,5.1,6.93,5.42,564-442-1874
362,Víctor,Urbina,víctor.urbina@universidadvirtual.edu.ar,Argentina,Buenos Aires,4.24,8.63,5.45,8.13,615-722-8456
363,Fabián,Robles,fabián.robles@universidadvirtual.edu.ar,Argentina,San Juan,8.47,6.81,9.4,5.88,949-271-7447
364,Cintia,Tejada,cintia.tejada@universidadvirtual.edu.ar,Argentina,Santa Fe,9.05,6.8,9.19,4.1,887-541-2990
365,Tamara,Peralta,tamara.peralta@universidadvirtual.edu.ar,Argentina,Río Negro,8.04,7.73,6.68,5.24,539-624-0672
366,Santiago,Girón,santiago.girón@universidadvirtual.edu.ar,Argentina,Neuquén,2.13,7.54,6.5,4.32,354-505-4147
367,Guillermina,Céspedes,guillermina.céspedes@universidadvirtual.edu.ar,Argentina,San Juan,9.79,9.08,8.05,4.53,403-430-6651
368,Leandro,Pizarro,leandro.pizarro@universidadvirtual.edu.ar,Argentina,Santa Fe,3.5,8.3,7.83,5.63,264-718-6740
369,Álvaro,Céspedes,álvaro.céspedes@universidadvirtual.edu.ar,Argentina,La Rioja,4.85,4.26,9.78,6.96,724-533-8629
370,Celeste,Robledo,celeste.robledo@universidadvirtual.edu.ar,Argentina,La Rioja,7.76,5.19,3.28,6.23,529-166-2001
371,Patricia,Saucedo,patricia.saucedo@universidadvirtual.edu.ar,Argentina,Buenos Aires,4.07,7.53,3.76,7.57,996-934-2510
372,Agustín,Montiel,agustín.montiel@universidadvirtual.edu.ar,Argentina,Río Negro,9.68,9.44,5.9,4.63,798-881-7205
373,Valentín,Farias,valentín.farias@universidadvirtual.edu.ar,Argentina,Córdoba,8.88,4.66,7.09,5.13,622-521-2865
374,Agustín,Capdevila,agustín.capdevila@universidadvirtual.edu.ar,Argentina,Tucumán,4.83,9.31,9.94,9.08,640-232-3514
375,Ailén,Arce,ailén.arce@universidadvirtual.edu.ar,Argentina,Neuquén,2.44,9.55,6.36,6.72,613-466-4329
376,Yamila,Castañón,yamila.castañón@universidadvirtual.edu.ar,Argentina,Formosa,6.34,4.25,3.45,8.72,197-231-1582
377,Gisela,Montoya,gisela.montoya@universidadvirtual.edu.ar,Argentina,Santa Fe,3.95,6.08,6.26,9.39,363-927-2221
378,Brenda,Pérez,brenda.pérez@universidadvirtual.edu.ar,Argentina,La Rioja,6.79,8.13,8.72,5.71,329-807-6604
379,Carla,Salinas,carla.salinas@universidadvirtual.edu.ar,Argentina,Santa Fe,9.91,9.23,4.09,9.86,841-255-3486
380,Nazarena,Parra,nazarena.parra@universidadvirtual.edu.ar,Argentina,Mendoza,5.06,5.45,4.47,9.94,213-701-1973
381,Lucía,Lepe,lucía.lepe@universidadvirtual.edu.ar,Argentina,Río Negro,4.18,9.97,7.43,4.96,570-526-2423
382,Ariel,Muñoz,ariel.muñoz@universidadvirtual.edu.ar,Argentina,Mendoza,6.34,7.79,6.35,5.09,518-595-5514
383,Camila,Cárdenas,camila.cárdenas@universidadvirtual.edu.ar,Argentina,San Juan,7.46,4.43,9.79,9.35,881-399-7641
384,Martina,Benítez,martina.benítez@universidadvirtual.edu.ar,Argentina,Chubut,5.13,7.55,6.6,5.98,905-660-8844
385,Sofía,Falcón,sofía.falcón@universidadvirtual.edu.ar,Argentina,Buenos Aires,2.33,5.5,6.62,8.87,490-892-7679
386,Lidia,Esparza,lidia.esparza@universidadvirtual.edu.ar,Argentina,Río Negro,2.82,9.22,8.86,9.56,976-517-8329
387,Paula,Oseguera,paula.oseguera@universidadvirtual.edu.ar,Argentina,Neuquén,2.51,7.69,7.22,8.51,566-306-1106
388,Antonella,Castañón,antonella.castañón@universidadvirtual.edu.ar,Argentina,La Rioja,7.57,8.75,8.81,6.25,607-963-7617
389,María,Barragán,maría.barragán@universidadvirtual.edu.ar,Argentina,Misiones,6.79,5.67,7.04,8.38,999-669-6319
390,Catalina,Guardado,catalina.guardado@universidadvirtual.edu.ar,Argentina,Formosa,8.95,8.76,10.0,9.55,806-627-6310
391,Estefanía,Sosa,estefanía.sosa@universidadvirtual.edu.ar,Argentina,Ciudad Autónoma de Buenos Aires,8.29,6.48,6.63,4.26,722-775-6186
392,Cintia,Rosales,cintia.rosales@universidadvirtual.edu.ar,Argentina,Entre Ríos,7.65,9.37,9.82,9.97,661-993-3428
393,Graciela,Mejía,graciela.mejía@universidadvirtual.edu.ar,Argentina,Misiones,7.47,5.95,5.29,7.77,713-887-6184
394,Guillermina,Santillán,guillermina.santillán@universidadvirtual.edu.ar,Argentina,Tierra del Fuego,6.99,9.35,4.81,8.58,658-338-1713
395,Cintia,Medina,cintia.medina@universidadvirtual.edu.ar,Argentina,San Juan,3.02,4.06,6.86,6.0,766-862-2130
396,Brenda,Aguayo,brenda.aguayo@universidadvirtual.edu.ar,Argentina,Tucumán,5.56,4.7,5.66,5.82,707-440-3734
397,Joaquín,Luján,joaquín.luján@universidadvirtual.edu.ar,Argentina,Salta,9.54,7.63,7.77,9.03,133-686-6869
398,Esteban,Garay,esteban.garay@universidadvirtual.edu.ar,Argentina,Tierra del Fuego,7.32,9.37,7.72,6.31,258-437-7073
399,Carmen,Almonte,carmen.almonte@universidadvirtual.edu.ar,Argentina,Chaco,5.81,6.07,3.27,9.05,864-540-1601
400,Sabrina,Solís,sabrina.solís@universidadvirtual.edu.ar,Argentina,Santa Fe,6.49,7.13,8.64,9.51,278-133-8067
401,Fátima,Nava,fátima.nava@universidadvirtual.edu.ar,Argentina,Salta,6.68,8.31,7.22,7.86,686-151-7705
402,Olivia,Morillo,olivia.morillo@universidadvirtual.edu.ar,Argentina,Río Negro,8.78,8.26,6.32,9.81,935-410-9616
403,Tomás,Padilla,tomás.padilla@universidadvirtual.edu.ar,Argentina,Ciudad Autónoma de Buenos Aires,9.19,8.88,6.94,6.04,180-438-6633
404,María,Álvarez,maría.álvarez@universidadvirtual.edu.ar,Argentina,Tucumán,9.08,6.9,3.55,5.94,938-676-9024
405,Florencia,Montiel,florencia.montiel@universidadvirtual.edu.ar,Argentina,Entre Ríos,4.97,7.71,3.15,9.24,752-766-8187
